,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
0,Hotel,7,DOWNTOWN,1927,12,88434,Hotel,88434.0,None,0.0,None,0.0,60.0,84.30000305,7456910.0,2003882.0,3946027.0,1276453.0,249.98,2.83
1,Hotel,7,DOWNTOWN,1996,11,103566,Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,97.90000153,8664479.0,0.0,3242851.0,5145082.0,295.86,2.86
2,Hotel,7,DOWNTOWN,1969,41,956110,Hotel,756493.0,None,0.0,None,0.0,43.0,97.69999695,73937112.0,21566554.0,49526664.0,1493800.0,2089.28,2.19
3,Hotel,7,DOWNTOWN,1926,10,61320,Hotel,61320.0,None,0.0,None,0.0,56.0,113.3000031,6946800.5,2214446.25,2768924.0,1811213.0,286.43,4.67
4,Hotel,7,DOWNTOWN,1980,18,175580,Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,118.6999969,14656503.0,0.0,5368607.0,8803998.0,505.01,2.88
5,Other,7,DOWNTOWN,1999,2,97288,Police Station,88830.0,None,0.0,None,0.0,,141.6000061,12581712.0,0.0,7371434.0,4715182.0,301.81,3.1
6,Hotel,7,DOWNTOWN,1926,11,83008,Hotel,81352.0,None,0.0,None,0.0,27.0,74.5,6062767.5,0.0,2811215.0,2947580.0,176.14,2.12
7,Other,7,DOWNTOWN,1926,8,102761,Entertainment/Public Assembly,102761.0,None,0.0,None,0.0,,68.80000305,7067881.5,2276286.5,3636655.0,385189.0,221.51,2.16
8,Hotel,7,DOWNTOWN,1904,15,163984,Hotel,163984.0,None,0.0,None,0.0,43.0,86.59999847,14194054.0,0.0,7297919.0,6425900.0,392.16,2.39
10,Hotel,7,DOWNTOWN,1969,11,153163,Hotel,133884.0,None,0.0,None,0.0,30.0,124.3000031,16646930.0,5237165.5,6187627.0,4591850.0,691.26,4.51
11,Hotel,7,DOWNTOWN,1998,25,333176,Hotel,336640.0,None,0.0,None,0.0,36.0,80.40000153,27070114.0,5999360.5,18083049.0,2858700.0,740.97,2.22
12,Hotel,7,DOWNTOWN,1928,9,65009,Hotel,65009.0,None,0.0,None,0.0,48.0,97.80000305,6358719.5,1656352.5,1343000.0,3596705.0,328.23,5.05
13,Hotel,7,DOWNTOWN,1980,33,315952,Hotel,295511.0,Parking,57600.0,None,0.0,58.0,76.19999695,22524948.0,4337738.5,13904183.0,4083440.0,648.62,2.05
14,Hotel,7,DOWNTOWN,1922,11,92190,Hotel,67390.0,Parking,25200.0,None,0.0,35.0,165.8999939,11179203.0,4870847.5,3832369.0,2046793.0,511.39,5.55
15,Other,7,DOWNTOWN,2004,11,412000,Library,364913.0,Parking,49000.0,Data Center,1074.0,,51.09999847,18706912.0,737559.5,17851297.0,0.0,181.38,0.44
16,Other,7,DOWNTOWN,1930,6,103911,Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,78.40000153,10192124.0,4592347.5,4453868.0,910180.0,433.86,4.18
17,Hotel,7,DOWNTOWN,1983,28,416281,Hotel,348329.0,Parking,85000.0,None,0.0,31.0,98.59999847,34351920.0,0.0,21225277.0,12331475.0,802.89,1.93
18,Mixed Use Property,7,DOWNTOWN,1907,5,57452,Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,137.1000061,7877219.0,1776201.875,3764791.0,2065091.0,273.02,4.75
19,Hotel,7,DOWNTOWN,1916,10,104352,Hotel,104352.0,None,0.0,None,0.0,39.0,97.30000305,10154608.0,3430862.0,5908370.0,815376.0,349.32,3.35
20,Other,7,DOWNTOWN,1916,10,540360,Courthouse,537150.0,None,0.0,None,0.0,76.0,87.5,47023088.0,0.0,24357833.0,20626631.0,1265.29,2.34
21,Other,3,DOWNTOWN,1985,19,385274,Other,385274.0,None,0.0,None,0.0,,128.6000061,49539212.0,0.0,18257661.0,29602150.0,1699.45,4.41
22,K-12 School,2,SOUTHEAST,1961,2,56228,K-12 School,58916.0,None,0.0,None,0.0,95.0,29.10000038,1713623.5,0.0,936955.0,602523.0,38.53,0.69
23,Hotel,4,NORTHEAST,2001,6,88592,Hotel,58006.0,Parking,30586.0,None,0.0,84.0,63.29999924,3673186.75,0.0,2266231.0,1397303.0,90.01,1.02
24,University,7,DOWNTOWN,1928,7,126593,College/University,125000.0,None,0.0,None,0.0,,97.5,12183313.0,0.0,4647474.0,6696211.0,388.04,3.07
25,Other,7,DOWNTOWN,1930,2,67224,Automobile Dealership,67224.0,None,0.0,None,0.0,,19.5,1310236.625,0.0,1310236.0,0.0,9.13,0.14
26,Hotel,7,EAST,1991,8,158676,Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,46.29999924,5424942.0,0.0,572307.0,4755745.0,256.57,1.62
27,Hotel,7,DOWNTOWN,2001,10,171866,Hotel,128909.0,None,0.0,None,0.0,57.0,86.69999695,11171407.0,0.0,5610706.0,5451210.0,328.63,1.91
29,Hotel,7,DOWNTOWN,1978,5,68410,Hotel,47994.0,None,0.0,None,0.0,57.0,95.0,4557974.0,0.0,2346349.0,2110365.0,128.44,1.88
30,K-12 School,5,NORTH,1949,2,160645,K-12 School,164229.0,None,0.0,None,0.0,75.0,47.5,7800349.5,0.0,1947601.0,4831572.0,270.18,1.68
32,Small- and Mid-Sized Office,4,LAKE UNION,1906,3,87262,Office,40943.0,K-12 School,18153.0,Entertainment/Public Assembly,4307.0,,69.80000305,4703690.0,0.0,1352843.0,2793077.0,157.77,1.81
33,Hotel,4,NORTHEAST,1994,4,81871,Hotel,81871.0,None,0.0,None,0.0,29.0,82.19999695,6731281.5,0.0,3016399.0,3652169.0,215.0,2.63
34,Self-Storage Facility,4,NORTHEAST,1955,2,110356,Self-Storage Facility,26225.0,None,0.0,None,0.0,,12.39999962,326223.0938,0.0,281265.0,37100.0,3.93,0.04
35,Mixed Use Property,2,GREATER DUWAMISH,1992,3,494835,Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,8.0,233.1000061,471613856.0,0.0,150476283.0,297909000.0,16870.98,34.09
36,Warehouse,2,GREATER DUWAMISH,1961,2,714095,Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,,45.79999924,44110016.0,0.0,44731153.0,0.0,311.84,0.44
37,K-12 School,7,MAGNOLIA / QUEEN ANNE,1990,2,54986,K-12 School,54986.0,None,0.0,None,0.0,97.0,32.79999924,1802471.375,0.0,1217589.0,432690.0,31.47,0.57
38,K-12 School,4,NORTHEAST,1950,2,175565,K-12 School,182861.0,None,0.0,None,0.0,88.0,40.09999847,7329817.5,0.0,1599684.0,4799443.0,266.05,1.52
39,Small- and Mid-Sized Office,6,BALLARD,1961,2,94900,Office,55586.0,Non-Refrigerated Warehouse,39314.0,None,0.0,57.0,68.90000153,6536359.5,0.0,4291585.0,1894876.0,130.56,1.38
40,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1900,2,52554,Office,51029.0,Education,7849.0,None,0.0,83.0,53.5,3150635.5,0.0,1579749.0,1371582.0,83.86,1.6
41,K-12 School,6,NORTHWEST,1954,3,175015,K-12 School,175015.0,None,0.0,None,0.0,95.0,45.09999847,7886505.5,0.0,2679739.0,4315001.0,247.85,1.42
42,Self-Storage Facility,7,DOWNTOWN,1911,3,70586,Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,,33.09999847,2331573.25,0.0,1500229.0,658400.0,45.43,0.64
43,Hotel,7,DOWNTOWN,1969,24,332210,Hotel,348630.0,None,0.0,None,0.0,67.0,46.40000153,16163194.0,0.0,12204406.0,3958787.0,295.33,0.89
44,Large Office,7,DOWNTOWN,1973,5,168115,Office,103362.0,Retail Store,65676.0,Data Center,493.0,78.0,56.29999924,9536161.0,0.0,9536160.0,0.0,66.48,0.4
45,Other,7,DOWNTOWN,1920,2,57428,Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,None,0.0,,21.60000038,1239429.75,0.0,714939.0,532423.0,33.26,0.58
46,Small- and Mid-Sized Office,7,DOWNTOWN,1910,8,59400,Office,34947.0,Retail Store,4993.0,None,0.0,14.0,88.30000305,5242479.5,0.0,5071973.0,0.0,35.36,0.6
47,Mixed Use Property,7,DOWNTOWN,1926,2,52549,Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,,299.0,15683742.0,0.0,4632459.0,10393737.0,584.31,11.12
48,Hotel,7,DOWNTOWN,1930,20,98634,Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,71.0,57.29999924,5078816.0,0.0,4290059.0,551288.0,59.19,0.6
49,Hotel,7,DOWNTOWN,1982,34,994212,Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,63.0,82.80000305,82318072.0,11598686.0,45545529.0,23324992.0,2451.58,2.47
50,Hotel,7,DOWNTOWN,1985,7,71150,Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,98.0,93.09999847,5348309.0,0.0,3243900.0,2104408.0,134.38,1.89
51,Hotel,7,DOWNTOWN,1908,7,122810,Hotel,88360.0,Entertainment/Public Assembly,26450.0,Retail Store,8000.0,99.0,49.59999847,6088417.5,0.0,1293561.0,4107716.0,227.18,1.85
52,Hotel,7,LAKE UNION,1959,5,113173,Hotel,70627.0,Parking,42546.0,None,0.0,86.0,76.90000153,5428403.5,0.0,2944680.0,2339663.0,144.79,1.28
53,Hotel,7,LAKE UNION,2000,7,150453,Hotel,107547.0,Restaurant,3000.0,None,0.0,84.0,61.79999924,6835263.5,0.0,3396109.0,3319078.0,199.95,1.33
54,Hotel,7,LAKE UNION,1997,6,116300,Hotel,88490.0,Parking,28300.0,None,0.0,80.0,67.09999847,5941927.0,0.0,3188457.0,2639138.0,162.39,1.4
55,Hotel,7,MAGNOLIA / QUEEN ANNE,1998,6,155602,Hotel,155602.0,None,0.0,None,0.0,81.0,44.0,6849826.5,0.0,4558937.0,2277962.0,152.76,0.98
56,K-12 School,3,EAST,1911,3,56072,K-12 School,56072.0,None,0.0,None,0.0,76.0,67.80000305,3800842.5,0.0,551867.0,2682920.0,146.34,2.61
57,Hotel,7,MAGNOLIA / QUEEN ANNE,1999,4,122942,Hotel,78051.0,Parking,44891.0,None,0.0,94.0,69.0,5387530.0,0.0,2423730.0,2913604.0,171.64,1.4
58,Small- and Mid-Sized Office,3,CENTRAL,1962,2,54984,Office,54984.0,None,0.0,None,0.0,71.0,66.0,3630147.25,0.0,1978230.0,1396981.0,87.98,1.6
59,Senior Care Community,1,SOUTHWEST,1922,5,217603,Senior Care Community,296313.0,Parking,0.0,None,0.0,54.0,153.6999969,45547252.0,0.0,11824772.0,30967300.0,1727.11,7.94
60,Senior Care Community,5,NORTHWEST,1970,2,93397,Senior Care Community,93397.0,None,0.0,None,0.0,1.0,181.6000061,16959754.0,0.0,5679498.0,10723064.0,609.1,6.52
61,Hotel,7,LAKE UNION,2008,6,84103,Hotel,63371.0,Parking,20732.0,None,0.0,74.0,59.79999924,3787499.0,0.0,2812688.0,893412.0,67.06,0.8
63,Medical Office,3,EAST,1965,3,179014,Medical Office,179014.0,None,0.0,None,0.0,48.0,92.30000305,16527711.0,0.0,9886484.0,6814570.0,430.84,2.41
64,Hotel,3,EAST,1908,7,76631,Hotel,76631.0,None,0.0,None,0.0,71.0,94.59999847,7250730.5,0.0,2660742.0,4598016.0,262.75,3.43
65,Mixed Use Property,3,EAST,1983,6,99780,Medical Office,40174.0,Parking,20868.0,Office,17020.0,,207.3000031,15684371.0,5327802.5,10145313.0,0.0,481.97,4.83
66,Retail Store,7,LAKE UNION,1929,2,58320,Retail Store,72072.0,None,0.0,None,0.0,96.0,17.20000076,1243027.75,0.0,361803.0,687945.0,39.06,0.67
67,Large Office,7,LAKE UNION,2010,5,316306,Office,261826.0,Parking,150726.0,Other,15139.0,96.0,48.40000153,13909270.0,0.0,12871091.0,924861.0,138.85,0.44
68,Hotel,3,LAKE UNION,1990,7,282863,Hotel,235788.0,Parking,51537.0,None,0.0,37.0,85.59999847,20194606.0,0.0,10980652.0,8478651.0,526.85,1.86
69,Other,7,MAGNOLIA / QUEEN ANNE,1962,1,389000,Other,368000.0,None,0.0,None,0.0,,64.5,23736924.0,6093150.0,14419146.0,688680.0,607.41,1.56
70,Other,7,MAGNOLIA / QUEEN ANNE,1962,1,91213,Other,65000.0,None,0.0,None,0.0,,125.9000015,8181881.0,4120130.0,3754115.0,0.0,344.2,3.77
71,Other,7,MAGNOLIA / QUEEN ANNE,1938,5,396085,Other,278500.0,None,0.0,None,0.0,,76.30000305,21257836.0,9763690.0,7252325.0,0.0,804.2,2.03
72,Large Office,7,LAKE UNION,2010,12,571329,Office,598801.0,Parking,310699.0,Other,26203.0,91.0,64.19999695,40153432.0,0.0,32206199.0,7399685.0,617.52,1.08
73,Other,7,MAGNOLIA / QUEEN ANNE,1962,2,52000,Other,52000.0,None,0.0,None,0.0,,51.59999847,2682242.75,1202380.0,1293349.0,0.0,101.83,1.96
74,Other,7,MAGNOLIA / QUEEN ANNE,1928,1,60696,Other,108000.0,None,0.0,None,0.0,,8.100000381,875943.3125,0.0,875943.0,0.0,6.11,0.1
75,Other,7,MAGNOLIA / QUEEN ANNE,1928,2,262048,Other,296000.0,None,0.0,None,0.0,,70.30000305,20823520.0,5137220.0,13512686.0,0.0,490.73,1.87
76,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1986,2,66240,Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,,75.40000153,4192107.75,0.0,4166305.0,0.0,29.04,0.44
77,Large Office,7,MAGNOLIA / QUEEN ANNE,2010,6,920598,Office,729584.0,Parking,185014.0,Other,6000.0,93.0,51.79999924,38105108.0,0.0,27597261.0,9069780.0,674.09,0.73
78,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1970,4,76213,Office,48546.0,Parking,21454.0,Other,2406.0,68.0,71.59999847,3647345.75,0.0,2944692.0,531520.0,48.76,0.64
79,Hotel,7,MAGNOLIA / QUEEN ANNE,2002,6,96910,Hotel,59976.0,Parking,36934.0,None,0.0,56.0,87.90000153,5274523.0,0.0,2637011.0,2518558.0,152.14,1.57
80,Hotel,4,NORTHEAST,1962,4,50017,Hotel,50017.0,Swimming Pool,0.0,None,0.0,53.0,110.5,5528580.5,0.0,2128306.0,3320669.0,191.2,3.82
82,K-12 School,3,EAST,1923,3,67743,K-12 School,67743.0,None,0.0,None,0.0,34.0,44.79999924,3036464.0,0.0,1337786.0,1309093.0,78.85,1.16
83,K-12 School,3,EAST,1908,6,194104,K-12 School,194104.0,None,0.0,None,0.0,100.0,37.09999847,7204080.0,0.0,1887893.0,4331949.0,243.23,1.25
84,Small- and Mid-Sized Office,3,SOUTHEAST,2003,3,99433,Office,63681.0,Parking,35752.0,None,0.0,63.0,78.19999695,4980737.5,0.0,4897760.0,0.0,34.14,0.34
86,K-12 School,2,GREATER DUWAMISH,1957,1,130862,K-12 School,134446.0,None,0.0,None,0.0,61.0,54.29999924,7300977.5,0.0,2262820.0,4193207.0,238.48,1.82
87,K-12 School,2,SOUTHEAST,1989,3,59955,K-12 School,59955.0,None,0.0,None,0.0,93.0,29.20000076,1749171.25,0.0,1436416.0,196983.0,20.48,0.34
88,K-12 School,7,MAGNOLIA / QUEEN ANNE,1964,2,93218,K-12 School,93218.0,None,0.0,None,0.0,86.0,34.5,3216155.0,0.0,1486758.0,1400634.0,84.75,0.91
89,Other,4,NORTHEAST,1941,4,56521,Other,49000.0,None,0.0,None,0.0,,129.8999939,6367210.0,0.0,6357631.0,0.0,44.32,0.78
90,Other,4,NORTHEAST,1929,2,206934,Other,119146.0,Parking,0.0,None,0.0,,36.79999924,4384625.5,0.0,2001103.0,2252474.0,133.58,0.65
91,Hotel,5,NORTHWEST,2001,4,51390,Hotel,51390.0,Parking,0.0,None,0.0,89.0,70.40000153,3616214.0,0.0,1398289.0,2213249.0,127.29,2.48
92,K-12 School,5,NORTHWEST,1963,2,131013,K-12 School,131909.0,None,0.0,None,0.0,88.0,32.5,4290831.5,0.0,1775488.0,2119097.0,124.92,0.95
93,K-12 School,5,NORTHWEST,1959,1,245587,K-12 School,245587.0,None,0.0,None,0.0,92.0,52.40000153,12870916.0,0.0,3926011.0,7839670.0,443.73,1.81
94,Hotel,5,NORTHWEST,2002,3,69138,Hotel,70609.0,None,0.0,None,0.0,78.0,47.09999847,3323400.5,0.0,1802889.0,1439568.0,89.02,1.29
96,Hotel,7,DOWNTOWN,1904,5,190980,Hotel,190980.0,Parking,19051.0,None,0.0,98.0,34.09999847,6505995.0,0.0,4402910.0,2103084.0,142.39,0.75
97,Other,7,DOWNTOWN,1998,6,284100,Entertainment/Public Assembly,189750.0,None,0.0,None,0.0,,78.40000153,14881950.0,4311136.0,9803021.0,527343.0,429.12,1.51
98,Hospital,6,BALLARD,1954,5,285333,Hospital (General Medical & Surgical),302661.0,Parking,148865.0,None,0.0,14.0,157.3000031,47602720.0,0.0,35237205.0,32853512.0,1990.5,6.98
99,K-12 School,6,BALLARD,1991,2,55513,K-12 School,59097.0,None,0.0,None,0.0,93.0,27.10000038,1598852.625,0.0,1513571.0,0.0,10.55,0.19
100,Other,2,DOWNTOWN,2006,4,61156,Other,42755.0,Office,29219.0,None,0.0,,132.6999969,9550716.0,0.0,6947270.0,2416104.0,176.75,2.89
101,Other,2,DOWNTOWN,1910,4,72820,Museum,58000.0,None,0.0,None,0.0,,36.09999847,2095175.25,0.0,1311669.0,698785.0,46.26,0.64
102,Hotel,7,MAGNOLIA / QUEEN ANNE,1996,4,162222,Hotel,113702.0,Parking,32692.0,None,0.0,76.0,70.5,8016521.0,0.0,4197462.0,3749499.0,228.4,1.41
103,K-12 School,2,SOUTHEAST,1990,4,289588,K-12 School,289588.0,None,0.0,None,0.0,90.0,33.0,9542598.0,0.0,6449764.0,2370086.0,170.84,0.59
104,University,3,EAST,1915,3,63330,College/University,64820.0,None,0.0,None,0.0,,50.70000076,3284214.5,0.0,1911064.0,1148694.0,74.33,1.17
105,University,1,DELRIDGE,1970,2,441071,College/University,483000.0,None,0.0,None,0.0,,85.19999695,41151732.0,0.0,25314575.0,12987166.0,866.23,1.96
106,Small- and Mid-Sized Office,4,NORTHEAST,2002,2,96300,Office,92300.0,Data Center,4944.0,None,0.0,,167.3999939,16274449.0,0.0,13973696.0,2346137.0,222.02,2.31
107,Other,2,GREATER DUWAMISH,1950,1,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,None,0.0,None,0.0,,118.3000031,8086930.5,0.0,4182001.0,3293576.0,204.08,3.03
108,K-12 School,3,CENTRAL,2008,3,254523,K-12 School,254523.0,None,0.0,None,0.0,60.0,58.20000076,14810159.0,0.0,7835065.0,5732708.0,359.09,1.41
109,K-12 School,2,SOUTHEAST,2001,3,78804,K-12 School,78804.0,None,0.0,None,0.0,92.0,34.0,2677620.75,0.0,1645214.0,853926.0,56.82,0.72
110,K-12 School,3,CENTRAL,2002,3,66994,K-12 School,66994.0,None,0.0,None,0.0,79.0,38.5,2579774.5,0.0,1824845.0,546459.0,41.74,0.62
111,K-12 School,2,GREATER DUWAMISH,2000,3,98357,K-12 School,98357.0,None,0.0,None,0.0,88.0,38.5,3783580.25,0.0,1927067.0,1529064.0,94.64,0.96
112,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1958,1,54765,Office,25765.0,Other,25000.0,None,0.0,,88.69999695,4503671.5,0.0,3569337.0,684032.0,61.21,1.12
113,Other,2,GREATER DUWAMISH,2009,5,89821,Lodging/Residential,46483.0,Office,37938.0,Food Service,4579.0,,25.0,2220796.5,0.0,67462.0,1882631.0,100.46,1.12
114,University,7,MAGNOLIA / QUEEN ANNE,1980,2,52611,College/University,52611.0,None,0.0,None,0.0,,83.40000153,4390158.0,0.0,2479273.0,1637598.0,104.26,1.98
116,K-12 School,5,NORTH,2011,2,236758,K-12 School,238550.0,Parking,0.0,None,0.0,96.0,38.90000153,9287467.0,0.0,4789948.0,3566039.0,222.78,0.94
117,Other,3,CENTRAL,1971,6,250981,Other,137565.0,Courthouse,78357.0,None,0.0,,65.69999695,14196194.0,4336524.5,8155002.0,580172.0,422.39,1.68
118,K-12 School,6,NORTHWEST,2002,3,62526,K-12 School,62526.0,None,0.0,None,0.0,96.0,35.09999847,2192411.0,0.0,1114389.0,871706.0,54.07,0.86
119,Other,7,DOWNTOWN,2004,11,299070,Other,250000.0,None,0.0,None,0.0,,264.0,66000296.0,0.0,30651644.0,34685331.0,2055.82,6.87
120,Small- and Mid-Sized Office,2,GREATER DUWAMISH,2007,3,64015,Office,30000.0,Non-Refrigerated Warehouse,15000.0,Services,9015.0,21.0,62.5,3375016.25,0.0,2657382.0,584696.0,49.58,0.77
121,Retail Store,5,NORTH,1951,1,530039,Retail Store,505103.0,Restaurant,24936.0,None,0.0,98.0,54.29999924,28763498.0,0.0,16224529.0,11492503.0,723.47,1.36
122,Other,5,NORTH,1964,3,54224,Specialty Hospital,47012.0,None,0.0,None,0.0,,163.1000061,7668810.0,0.0,3344827.0,3920350.0,231.53,4.27
123,Retail Store,5,NORTH,1965,4,124342,Retail Store,122000.0,None,0.0,None,0.0,76.0,71.59999847,8729918.0,0.0,8653621.0,112356.0,66.3,0.53
124,Hospital,4,NORTHEAST,1953,10,879000,Hospital (General Medical & Surgical),879000.0,None,0.0,None,0.0,10.0,293.2000122,257764208.0,0.0,115641210.0,138191238.0,8145.52,9.27
125,Other,5,NORTHWEST,1996,3,55442,Financial Office,28636.0,Parking,15385.0,Medical Office,8644.0,72.0,88.90000153,3313397.0,0.0,1859345.0,1331883.0,83.7,1.51
126,K-12 School,6,BALLARD,1999,2,242795,K-12 School,242795.0,None,0.0,None,0.0,80.0,40.0,9708318.0,0.0,7859464.0,1297685.0,123.71,0.51
127,Self-Storage Facility,3,EAST,1910,5,84870,Self-Storage Facility,85521.0,None,0.0,None,0.0,,18.89999962,1617801.25,0.0,482635.0,898955.0,51.11,0.6
128,University,5,NORTHWEST,1970,2,694072,College/University,667335.0,None,0.0,None,0.0,,56.09999847,37410800.0,0.0,33450832.0,2440648.0,362.82,0.52
129,K-12 School,2,SOUTHEAST,1952,2,173185,K-12 School,173185.0,None,0.0,None,0.0,79.0,40.59999847,7034167.5,0.0,1800727.0,4327044.0,242.36,1.4
130,K-12 School,1,DELRIDGE,1963,1,145341,K-12 School,139069.0,None,0.0,None,0.0,75.0,45.59999847,6337972.0,0.0,1864967.0,3634130.0,206.01,1.42
131,Warehouse,2,GREATER DUWAMISH,1904,4,114297,Non-Refrigerated Warehouse,114297.0,None,0.0,None,0.0,61.0,21.10000038,2415462.5,0.0,912475.0,1187623.0,69.44,0.61
132,K-12 School,2,SOUTHEAST,1960,2,184125,K-12 School,184125.0,None,0.0,None,0.0,86.0,54.70000076,10067991.0,0.0,2999862.0,5800430.0,328.97,1.79
134,Warehouse,2,GREATER DUWAMISH,1937,1,234144,Non-Refrigerated Warehouse,234144.0,None,0.0,None,0.0,87.0,33.59999847,7874958.5,0.0,1316817.0,5427500.0,297.43,1.27
135,Retail Store,1,DELRIDGE,1966,1,64984,Retail Store,65425.0,None,0.0,None,0.0,72.0,46.09999847,3016373.5,0.0,2613687.0,330609.0,35.78,0.55
136,Retail Store,1,DELRIDGE,1965,1,67745,Retail Store,67782.0,None,0.0,None,0.0,37.0,141.5,9589728.0,0.0,2624102.0,6606121.0,369.14,5.45
137,K-12 School,1,DELRIDGE,2010,2,367884,K-12 School,367884.0,None,0.0,None,0.0,97.0,36.09999847,13279344.0,0.0,8205020.0,4060496.0,272.85,0.74
138,K-12 School,1,DELRIDGE,1958,1,46797,K-12 School,46797.0,None,0.0,None,0.0,86.0,50.90000153,2380144.5,0.0,797204.0,1278687.0,73.47,1.57
140,Other,6,BALLARD,1973,3,56000,Other,56000.0,None,0.0,None,0.0,,37.29999924,2088978.125,0.0,844864.0,1006396.0,59.34,1.06
141,K-12 School,2,SOUTHEAST,2004,2,67371,K-12 School,67371.0,None,0.0,None,0.0,92.0,33.59999847,2260359.75,0.0,1445339.0,683120.0,46.36,0.69
142,Self-Storage Facility,1,SOUTHWEST,1969,2,52088,Self-Storage Facility,52088.0,None,0.0,None,0.0,,30.29999924,1576122.875,0.0,523765.0,853755.0,48.99,0.94
143,K-12 School,4,LAKE UNION,2010,3,127776,K-12 School,127776.0,None,0.0,None,0.0,75.0,39.09999847,4998584.5,0.0,3729930.0,1018207.0,80.08,0.63
144,Hotel,3,LAKE UNION,1998,5,123920,Hotel,123920.0,Parking,30000.0,Swimming Pool,0.0,79.0,78.09999847,9676783.0,0.0,4079217.0,5293961.0,309.6,2.5
145,Other,3,LAKE UNION,1900,1,50000,Museum,43000.0,None,0.0,None,0.0,,184.6999969,7942537.5,0.0,3797924.0,3750882.0,225.69,4.51
147,Hotel,7,MAGNOLIA / QUEEN ANNE,1998,7,207656,Hotel,141591.0,None,0.0,None,0.0,76.0,83.0,11754087.0,0.0,5530787.0,5641200.0,338.16,1.63
148,K-12 School,6,BALLARD,1999,2,67235,K-12 School,67235.0,None,0.0,None,0.0,89.0,36.29999924,2443194.0,0.0,1564728.0,719406.0,49.12,0.73
149,Small- and Mid-Sized Office,5,NORTHWEST,1957,2,91130,Office,57968.0,Distribution Center,32881.0,Parking,11850.0,,106.0999985,10005492.0,0.0,7093984.0,2378373.0,175.77,1.93
150,K-12 School,1,SOUTHWEST,1991,3,58118,K-12 School,59014.0,None,0.0,None,0.0,97.0,25.70000076,1519074.75,0.0,1158457.0,248820.0,21.29,0.37
151,Hotel,5,NORTHWEST,1968,4,64893,Hotel,64893.0,None,0.0,None,0.0,70.0,95.69999695,6211749.5,0.0,2620548.0,3577277.0,208.26,3.21
153,K-12 School,2,GREATER DUWAMISH,1925,1,70762,K-12 School,70762.0,None,0.0,None,0.0,87.0,58.5,4138032.75,0.0,491106.0,3115310.0,168.88,2.39
154,Small- and Mid-Sized Office,7,DOWNTOWN,1900,3,44558,Office,34416.0,Self-Storage Facility,7672.0,Restaurant,2470.0,78.0,38.59999847,1722053.0,0.0,1317637.0,359365.0,28.27,0.63
155,Other,2,GREATER DUWAMISH,1999,6,1585960,Entertainment/Public Assembly,1585960.0,Parking,0.0,None,0.0,,39.20000076,62160304.0,0.0,49439914.0,10317518.0,892.63,0.56
156,Distribution Center,2,GREATER DUWAMISH,1924,2,179161,Distribution Center,117476.0,Office,37321.0,Other,25543.0,,56.29999924,10168523.0,0.0,8772104.0,664302.0,96.43,0.54
157,Warehouse,2,GREATER DUWAMISH,1965,2,58640,Non-Refrigerated Warehouse,40831.0,Services,16735.0,Office,11533.0,,61.5,4327563.5,0.0,3928695.0,0.0,27.39,0.47
158,Other,2,GREATER DUWAMISH,1999,3,1172127,Entertainment/Public Assembly,1172127.0,None,0.0,None,0.0,,49.0,57406988.0,0.0,40622381.0,18138920.0,1246.55,1.06
159,Hotel,2,GREATER DUWAMISH,2005,9,168449,Hotel,135006.0,Parking,20600.0,Food Service,9216.0,64.0,89.19999695,12871628.0,0.0,6232233.0,6494555.0,388.37,2.31
160,Warehouse,1,GREATER DUWAMISH,1916,4,79600,Non-Refrigerated Warehouse,79600.0,None,0.0,None,0.0,34.0,30.29999924,2411402.25,0.0,2411402.0,0.0,16.81,0.21
